"时间","日期","BV号","标题","播放","评论","点赞","投币","收藏","分享","本小时播放","今日播放","已发布天数","日均播放","评论率","点赞率","投币率","收藏率","分享率"
"2026-08-11 23:00","2026-08-11","BV1o9uy6jEyM","8月更新【秋叶ComfyUI-VX中文版】全面支持中文提示词输入！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","10334","216","486","897","508","45","2028","4479","3","3445","2.09","4.7","8.68","4.92","0.44"
"2026-08-11 23:00","2026-08-11","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14449","303","1373","2588","1384","185","55","190","7","2064","2.1","9.5","17.91","9.58","1.28"
"2026-08-11 23:00","2026-08-11","BV1QZM16zEMK","8月最新【秋叶ComfyUI-VX中文版】全中文界面支持中文提示词！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","38325","1629","1944","3029","2196","238","2988","14178","6","6388","4.25","5.07","7.9","5.73","0.62"
"2026-08-11 23:00","2026-08-11","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","376354","19383","13713","22108","15908","2321","52","450","72","5227","5.15","3.64","5.87","4.23","0.62"
"2026-08-11 23:00","2026-08-11","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","70466","1402","2133","3430","2475","681","1040","3574","25","2819","1.99","3.03","4.87","3.51","0.97"
"2026-08-11 23:00","2026-08-11","BV1Tjgk6fEQw","【ComfyUI-模型】音画同步，AI视频一键生成，8g显存也能玩。LTX2.3模型完全体！从入门到进阶,镜头运镜,提示词工具。一键安装，点开即用（附软件模型）","62016","1655","2833","4044","3251","755","209","576","21","2953","2.67","4.57","6.52","5.24","1.22"
"2026-08-11 23:00","2026-08-11","BV1wfT76GEME","【ComfyUI-V13旗舰版】秋叶最新教程发布！全中文界面，中文提示词！全面适配50 40 30系显卡，Win+Mac一键安装，解压即用，（附整合包+工作流）","158847","4880","5747","8965","6892","1679","58","316","41","3874","3.07","3.62","5.64","4.34","1.06"
"2026-08-11 23:00","2026-08-11","BV18egC6NEPm","【ComfyUI最强视频模型】LTX2.3最新NSFW破限制视频/漫剧一键整合包！无视审查！低至8G显存运行！LTX导演台、多参生视频、Scail2动作迁移等","62015","1476","1566","2806","1600","671","26","76","21","2953","2.38","2.53","4.52","2.58","1.08"
"2026-08-11 23:00","2026-08-11","BV1sh3C6cEXN","【秋叶ComfyUI终极整合包】全中文界面支持中文提示词！支持全部英伟达显卡！详细从零开始学习AI绘画comfyui工作流搭建，（附整合包工作流）","47435","627","902","1626","925","363","18","39","14","3388","1.32","1.9","3.43","1.95","0.77"
"2026-08-11 23:00","2026-08-11","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84381","433","386","592","392","376","1","6","56","1507","0.51","0.46","0.7","0.46","0.45"
"2026-08-11 23:00","2026-08-11","BV1cbuw6eE16","【秋叶ComfyUI】秋叶最新发布！ComfyUI 中文满血整合包来了！支持50 40 30系显卡，Win+Mac一键下载安装（附新Comfyui整合包）","11485","11","80","147","75","102","2","9","8","1436","0.1","0.7","1.28","0.65","0.89"
"2026-08-11 23:00","2026-08-11","BV15AdgB4En4","7月24日【 秋叶ComfyUI中文版】重磅更新！！ComfyUI 旗舰整合包来了！，Win+Mac一键下载安装无私分享（附Comfyui整合包）","120840","5480","11572","20136","13035","1199","2","13","96","1259","4.53","9.58","16.66","10.79","0.99"
"2026-08-11 23:00","2026-08-11","BV1g4Ei6KEWJ","【全100集】B站最详细StableDiffusion+Comfyui全套保姆级教程——秋叶零基础入门到精通，全程干货无废话，允许白嫖，拿走不谢！（附SD安装包","55130","233","246","399","274","231","3","6","62","889","0.42","0.45","0.72","0.5","0.42"
"2026-08-11 23:00","2026-08-11","BV15c7h6REzw","【秋叶 ComfyUI】秋叶最新发布！支持20/30/40/50系显卡，ComfyUI V10中文整合包来了！Win+Mac一键安装（附Comfyui整合包）","51315","153","157","262","156","134","1","4","48","1069","0.3","0.31","0.51","0.3","0.26"
